3,-132,-670,156,-830,904,162,165,508,-909
155,-275,395,-279,373,131,-56,32,-627,566
91,-938,856,-12,328,-105,-342,269,-47,255
991,-844,-81,167,116,71,-155,-452,-503,890
186,-963,3,544,934,817,397,39,319,583
-498,-984,323,-219,260,242,364,627,-485,855
-193,-403,365,884,61,-948,-337,-153,903,294
643,-453,301,-372,-18,634,-367,608,345,-618
-554,386,201,741,991,293,-999,422,989,49
-450,73,-896,-525,-505,-744,593,-746,-632,-489
165,781,-912,693,-767,238,193,358,459,-195
-916,831,354,199,448,-587,-456,-401,28,182
-387,939,808,-163,-779,-186,-946,424,-925,385
917,87,-999,648,724,451,684,-291,615,-181
-265,109,-312,-909,396,-784,-571,770,-899,506
-932,-366,-524,-349,856,-516,-48,293,389,532
-319,734,859,979,-146,-645,-850,-903,-833,-735
757,-88,-498,-632,-576,-77,-5,590,830,-603
856,-830,984,238,573,695,908,548,933,-566
-609,-37,-594,899,594,44,-549,834,63,179
-203,-574,692,920,-213,-644,-649,-129,-143,-673
-959,722,180,718,996,-513,971,-963,599,-532
-184,-497,-891,-252,810,125,-580,-67,585,-718
-366,382,195,-207,715,-177,278,646,-522,30
-371,-88,-533,490,-816,605,972,-826,-38,-653
-292,355,202,851,-60,-129,-420,679,-398,907
-891,-625,-891,803,-811,492,581,-566,-937,528
-363,496,-30,-941,-653,228,-230,-639,-938,-729
-917,895,299,704,960,599,-870,542,-673,611
-415,-769,130,480,-381,575,-726,458,-436,646
-779,-939,683,624,-860,-749,-479,-243,370,324
-144,-827,-605,-737,-135,389,265,208,297,-256
-499,491,826,-244,-458,-155,-444,-392,937,933
214,-887,396,-123,608,-270,217,-646,260,-292
-190,-872,-516,161,209,-878,728,-19,874,766
-444,-10,-584,-504,701,-17,-741,-834,832,634
-101,911,765,60,-916,-643,684,301,213,612
-789,733,179,-9,-852,-498,-193,-915,-743,597
487,555,-305,747,-386,305,176,-237,760,356
-865,-868,-948,-344,-29,-450,-374,41,526,322
891,-416,-670,-306,-514,-982,11,-653,118,232
-2,-533,-3,-837,349,770,-223,-63,261,-157
-353,434,-960,992,263,936,-605,-733,-626,-336
-608,-941,-76,-421,809,167,614,620,156,16
-502,-546,146,-459,-633,-673,-802,-92,335,-358
-579,942,332,934,49,243,965,153,-716,-983
-802,-611,377,-223,-732,272,669,-662,-870,-370
3,809,403,102,-588,191,-946,763,52,-539
74,471,655,-256,710,-999,778,-773,-704,989
103,-698,445,313,19,169,-344,564,307,737
389,98,-684,808,-772,-263,-656,357,-471,785
236,721,246,648,352,-530,-656,965,619,-744
354,-413,553,153,-501,484,166,334,847,382
-838,790,-924,819,-905,240,-50,-282,-457,936
734,146,495,492,-287,587,-968,-354,505,-567
-697,-49,705,86,604,188,-393,-136,-631,818
-281,505,-559,-414,-589,-208,-200,-998,813,622
649,131,798,-952,116,-79,317,-852,745,9
-537,521,-328,-212,791,-677,361,-949,454,-849
-94,-742,710,-236,-900,-96,740,-928,711,-65
359,150,133,5,57,-421,-818,919,879,-118
-61,914,593,-871,338,-895,-848,-232,-14,30
217,394,-346,225,-829,908,175,-576,-603,-452
-523,353,-768,28,-503,274,-446,806,-310,994
-456,312,245,994,773,394,944,-489,-549,48
-899,-514,889,958,364,-794,348,118,82,-206
553,525,872,-295,-127,535,-811,982,610,-65
-293,729,-178,-777,-868,1000,-721,492,721,-188
-777,-786,725,404,345,-17,-591,-459,477,-599
-520,-840,627,-536,-51,642,177,-800,-235,-105
744,-711,-718,776,-505,-215,86,-479,-415,151
-848,-252,-998,741,-381,279,-367,405,-127,-425
965,-36,115,-923,-427,-847,-575,99,-53,-672
-979,-593,372,-396,523,835,420,315,-787,70
443,-817,-489,-275,150,144,324,-125,299,-527
300,-186,-450,-252,549,-1000,-717,161,-566,382
-512,-316,365,-924,545,302,316,898,-822,-703
222,49,490,-337,-509,324,-215,-353,185,-850
348,587,890,-633,763,368,-103,860,686,434
-359,-676,135,554,268,538,-659,861,332,443
854,157,-980,422,275,-279,563,-286,395,390
-124,-206,-683,-411,282,-722,-78,621,-819,-758
706,862,-343,60,723,215,763,-639,661,-444
310,-149,-958,109,-548,-339,-234,308,903,-724
-39,-631,121,634,45,-349,-329,678,-330,-458
963,-77,817,-224,635,-2,-189,-3,94,-501
675,-712,-246,-126,880,-856,404,388,-585,760
793,-404,172,-652,901,-861,329,-306,-534,-163
263,-327,-265,-63,-918,-208,660,560,526,59
723,-540,-796,-857,707,-846,-776,466,441,323
-851,390,462,676,-357,-187,-806,336,-235,847
73,-562,-81,167,-537,-245,545,-453,-935,-434
188,-89,530,-837,657,748,-39,848,-769,51
437,80,6,-358,-115,965,944,-183,-286,219
903,-652,536,-157,331,-268,-138,-906,-820,571
-49,-595,-196,-304,194,-687,228,-962,184,96
-304,-817,173,-600,-599,-858,108,624,970,-777
-250,501,109,940,-747,950,748,-912,300,-796
677,645,-153,-620,471,-217,-942,-721,498,244
411,-637,-724,-666,-223,-92,916,-258,292,-890
