[121, 928, -633, 806, -561, 592, 440, 39, -467, 493]
[655, -607, 355, 660, 406, 658, -120, -157, 900, 582]
[-141, 452, 238, -798, -461, -419, 288, -601, 648, 842]
[563, -617, -865, 683, -372, 151, -902, 458, 610, 721]
[962, 270, 174, 120, 120, -674, -222, 132, 240, -925]
[-548, 285, -828, 800, -550, 856, -158, 46, 606, -594]
[-80, -952, -205, 667, -857, 376, 574, 36, -347, 277]
[-88, 669, 342, -261, 558, 640, 531, 696, -248, -651]
[-278, 373, 727, 915, 707, 27, 278, 561, -491, 11]
[-531, -315, 40, 393, -937, -63, 364, 572, -996, -616]
[-782, -345, 924, -27, 286, -767, 844, -386, 871, -759]
[-738, 774, 288, 142, 574, -916, -337, 695, -135, 772]
[-817, -73, 292, 100, -314, -672, 327, -144, -773, -229]
[20, 864, -353, -568, 514, 864, -684, 797, 60, -290]
[-146, 79, 712, 992, 290, -207, 890, -124, 51, -179]
[-459, 811, -700, -48, 261, 956, -252, -627, 62, 719]
[211, 169, 0, -119, -370, -328, -261, -323, -265, -535]
[-416, 220, -298, 850, 765, -434, -1000, 367, 555, 780]
[612, 116, -605, -456, -287, 685, -51, 173, -38, -443]
[-649, 352, 591, 803, 693, -851, -946, -178, -856, 687]
[-493, 764, -651, 762, -613, -790, -264, -712, 90, -483]
[176, -530, -437, 386, 103, -687, 708, -695, -694, 792]
[-793, -362, -100, 502, 883, -161, 589, -595, -281, 936]
[-94, -579, 895, 874, 176, 42, 481, -167, 274, -99]
[-685, 718, 173, -407, -989, 472, 532, -337, 241, -962]
[969, -233, 52, 636, 375, -83, 145, -974, -466, -27]
[426, -135, -336, -302, 832, 50, 5, -175, -392, 435]
[-607, 654, 42, 665, 9, -945, -965, -738, -486, 373]
[-125, -79, 133, 302, 798, 87, -959, -886, 866, 550]
[32, 795, 533, -719, -115, 476, -417, -167, -419, -785]
[-217, 648, 774, -554, -79, -207, -941, 268, 132, 457]
[-986, -60, 925, -378, -951, -989, 915, 754, -467, -146]
[-364, 987, 261, 476, -871, -728, 615, -424, 213, 527]
[-949, 555, -649, 995, -489, 444, -957, -258, -881, 812]
[-544, -698, 286, -475, 141, 456, -502, 348, -515, -235]
[780, -465, -918, -84, -992, 84, 31, 381, -438, 158]
[-563, -257, 13, 437, -369, 272, 538, -601, -815, 984]
[-448, 993, 671, -35, 472, -541, -812, 630, 2, 156]
[20, -452, 95, 501, 792, 585, 734, 788, 769, -663]
[-139, 832, -205, -737, 616, 222, 243, -768, -885, -119]
[-515, -273, -207, 542, 925, 943, 641, 473, 654, 656]
[854, 520, -1000, -873, -445, -619, -617, -565, -585, -935]
[-496, -394, -181, 923, 472, -20, 967, 366, -145, 473]
[636, 338, 785, -132, -42, 962, -845, 95, -523, 784]
[-591, -27, 967, -840, -32, 120, -394, 857, -479, -899]
[303, 912, -87, -666, 988, -340, 892, -402, -539, -193]
[291, -887, -423, 642, 58, 834, 719, -264, 303, -835]
[-873, 285, -268, -184, -497, -500, 828, -32, 675, 976]
[983, -507, 213, -742, 825, -305, 108, -291, 411, 25]
[494, 632, -904, 631, -620, -299, -101, -186, 102, 61]
[281, -198, 233, -174, -470, 458, -643, -999, 355, 927]
[-860, -625, 610, -817, -781, -250, 939, 553, 857, -476]
[585, -179, 598, -882, 973, -511, -301, 113, 8, 510]
[944, 262, -488, 868, 152, 240, 428, -731, -230, 364]
[625, 802, 778, 558, -299, 903, -476, -591, 984, -296]
[285, 112, 198, 801, -847, 834, 665, 43, 640, -127]
[329, 206, 0, -446, 383, 232, -953, 738, 148, 800]
[-130, 536, -767, -630, 703, -687, 794, 448, 717, 363]
[-909, 727, -684, 287, -102, -259, -640, -384, -926, -906]
[-522, 722, -78, -830, 447, -407, 150, -576, 464, 57]
[-350, 845, -827, 748, 768, -690, 610, -816, 639, 259]
